# timestamp[secs] tx ty tz qx qy qz qw
4.43783699999767e-06 277.98849 -312.46545 19.85464 -0.00427 -0.03435 -0.32489 0.94512
4.6395560000019e-06 279.44855 -313.46988 19.9895 -0.00647 -0.03372 -0.29674 0.95434
4.8412759999992e-06 280.95676 -314.38058 20.11012 -0.00977 -0.03489 -0.26798 0.96274
5.0429959999964905e-06 282.55148 -315.21658 20.22798 -0.01143 -0.03402 -0.23913 0.97033
5.2447170000014e-06 284.17297 -315.99341 20.37044 -0.01231 -0.03486 -0.21091 0.97681
5.4464369999987e-06 285.86725 -316.6691 20.49573 -0.01338 -0.03615 -0.18509 0.98197
5.64815699999599e-06 287.59738 -317.30203 20.64625 -0.01085 -0.0346 -0.16289 0.98598
5.84987600000022e-06 289.34235 -317.85944 20.79492 -0.00976 -0.03836 -0.14492 0.98865
6.05159599999752e-06 291.13376 -318.35611 20.93633 -0.01033 -0.04031 -0.13079 0.99054
6.25331600000209e-06 292.94611 -318.80347 21.10507 -0.01362 -0.04227 -0.12063 0.9917
6.45503599999938e-06 294.78198 -319.23483 21.25657 -0.01433 -0.04208 -0.11373 0.99252
6.65675599999668e-06 296.61996 -319.65033 21.4336 -0.01356 -0.04189 -0.10868 0.9931
6.85847600000125e-06 298.45676 -320.02911 21.58416 -0.01455 -0.04296 -0.10541 0.99339
7.0601949999981995e-06 300.31177 -320.41199 21.75291 -0.01521 -0.04217 -0.10357 0.99361
7.2619149999955e-06 302.15842 -320.79559 21.93018 -0.0156 -0.03987 -0.1028 0.99378
7.46363500000007e-06 303.99683 -321.18027 22.08388 -0.01491 -0.03811 -0.1024 0.9939
7.66535499999736e-06 305.81415 -321.55408 22.23487 -0.01378 -0.03717 -0.10264 0.99393
7.867075000001929e-06 307.62698 -321.91772 22.39068 -0.01448 -0.03985 -0.10293 0.99378
8.06879499999923e-06 309.43732 -322.28668 22.54931 -0.01585 -0.04262 -0.10373 0.99357
8.27051399999618e-06 311.24857 -322.65958 22.7151 -0.01642 -0.04341 -0.10456 0.99343
8.47223400000075e-06 313.02533 -323.02658 22.88937 -0.0175 -0.04408 -0.10546 0.99329
8.67395399999805e-06 314.79596 -323.39255 23.04952 -0.01917 -0.04455 -0.10668 0.99311
8.87567399999534e-06 316.54791 -323.76898 23.22246 -0.02107 -0.04625 -0.10802 0.99285
9.07739399999991e-06 318.28241 -324.14774 23.40628 -0.02205 -0.04768 -0.10963 0.99258
9.279113999997209e-06 319.97845 -324.52798 23.5827 -0.02233 -0.04857 -0.11146 0.99233
9.48083300000144e-06 321.63037 -324.89465 23.76302 -0.02244 -0.05001 -0.11371 0.992
9.68255299999873e-06 323.28448 -325.27762 23.95271 -0.02267 -0.05095 -0.11636 0.99164
9.88427299999603e-06 324.89856 -325.64691 24.14382 -0.02366 -0.05174 -0.11965 0.99118
1.00859930000006e-05 326.4884 -326.02927 24.33256 -0.02487 -0.05145 -0.12382 0.99066
1.02877139999982e-05 328.02805 -326.4202 24.51159 -0.02604 -0.05181 -0.12906 0.98994
1.04894339999955e-05 329.55664 -326.82654 24.69578 -0.02664 -0.05119 -0.13576 0.98906
1.0691152999999798e-05 331.04361 -327.24756 24.86176 -0.02746 -0.05236 -0.14356 0.98787
1.0892872999997101e-05 332.48868 -327.68869 25.04255 -0.02682 -0.05459 -0.15278 0.98639
1.10945930000016e-05 333.89307 -328.17474 25.22575 -0.02432 -0.05617 -0.16356 0.98463
1.12963129999989e-05 335.30981 -328.69556 25.41989 -0.0218 -0.05665 -0.1769 0.98236
1.14980329999962e-05 336.71735 -329.25909 25.60187 -0.01959 -0.05731 -0.19226 0.97947
1.16997530000008e-05 338.0614 -329.87323 25.78371 -0.01742 -0.05669 -0.21089 0.97571
1.1901471999997699e-05 339.38153 -330.52078 25.97044 -0.01606 -0.05551 -0.23279 0.97081
1.21031920000023e-05 340.64709 -331.24097 26.15034 -0.01463 -0.05442 -0.25791 0.96453
1.23049119999996e-05 341.85992 -332.03247 26.30987 -0.01238 -0.05394 -0.2862 0.95657
1.25066319999969e-05 342.9747 -332.8623 26.45375 -0.01054 -0.05374 -0.31558 0.94732
1.2708352000001501e-05 344.02347 -333.7587 26.61548 -0.00882 -0.05268 -0.34475 0.93717
1.2910071999998801e-05 345.00455 -334.71841 26.7526 -0.00701 -0.05262 -0.3733 0.92619
1.31117909999957e-05 345.90292 -335.6889 26.89852 -0.00582 -0.05264 -0.4002 0.9149
1.33135110000003e-05 346.75156 -336.72287 27.02548 -0.00508 -0.0535 -0.42607 0.90309
1.35152309999976e-05 347.54272 -337.79141 27.17404 -0.00588 -0.0552 -0.45122 0.89068
1.3716951000002201e-05 348.27417 -338.89691 27.32336 -0.00689 -0.05642 -0.47643 0.87737
1.39186709999995e-05 348.9407 -340.0816 27.4683 -0.00609 -0.05624 -0.50134 0.8634
1.41203909999967e-05 349.55521 -341.29013 27.6064 -0.00528 -0.05522 -0.52494 0.84933
1.4322110000001e-05 350.10272 -342.54446 27.74243 -0.00405 -0.05416 -0.54726 0.8352
1.4523829999998301e-05 350.56595 -343.83426 27.87185 -0.0027 -0.05359 -0.57065 0.81944
1.47255499999956e-05 350.94601 -345.11255 27.99717 -0.00255 -0.05472 -0.59542 0.80155
1.49272700000001e-05 351.24164 -346.41089 28.092 -0.0019 -0.05687 -0.62106 0.78169
1.51289899999974e-05 351.44638 -347.72852 28.23075 -0.0011 -0.05708 -0.64633 0.76092
1.53307090000017e-05 351.58008 -349.06363 28.34258 -7e-05 -0.05759 -0.6716 0.73867
1.5532428999999e-05 351.59698 -350.40009 28.4536 0.00118 -0.05844 -0.69562 0.71603
1.57341489999963e-05 351.52374 -351.72391 28.55379 0.0028 -0.0598 -0.71893 0.6925
1.59358690000008e-05 351.38898 -353.04651 28.65716 0.00493 -0.06011 -0.74027 0.66959
1.6137588999998102e-05 351.14462 -354.34805 28.75503 0.0071 -0.06158 -0.76043 0.64646
1.63393099999957e-05 350.85959 -355.66422 28.81537 0.00739 -0.06196 -0.78008 0.62256
1.6541029000000002e-05 350.47018 -356.97662 28.90065 0.00924 -0.0592 -0.79996 0.59705
1.67427489999973e-05 349.98291 -358.26404 28.96253 0.00977 -0.05694 -0.82041 0.56885
1.6944469000001798e-05 349.42087 -359.54233 29.01331 0.00982 -0.05305 -0.84057 0.53901
1.71461889999991e-05 348.73636 -360.78995 29.04435 0.01017 -0.04955 -0.85903 0.50942
1.73479089999964e-05 347.97818 -362.02271 29.08538 -0.01052 0.04319 0.87576 -0.48069
1.7549629000001e-05 347.11752 -363.20621 29.11427 -0.01415 0.04096 0.89052 -0.45288
1.7751347999998e-05 346.19205 -364.35428 29.12453 -0.01614 0.03626 0.90371 -0.42631
1.79530680000025e-05 345.20169 -365.42935 29.11981 -0.01961 0.03507 0.91496 -0.40155
1.81547879999998e-05 344.15988 -366.4664 29.10233 -0.02097 0.03425 0.92525 -0.37723
1.8356507999997098e-05 343.06351 -367.44296 29.0821 -0.02379 0.03429 0.93389 -0.35511
1.8558228000001702e-05 341.92392 -368.36914 29.05373 -0.02619 0.03403 0.94133 -0.33475
1.87599469999986e-05 340.74969 -369.27002 29.01665 -0.02824 0.03238 0.9475 -0.31687
1.89616669999959e-05 339.543 -370.11423 28.95865 -0.02837 0.03338 0.95287 -0.30021
1.9163387000000503e-05 338.32248 -370.91806 28.90713 -0.02934 0.03405 0.95721 -0.28589
1.93651069999978e-05 337.08765 -371.68738 28.85597 -0.0315 0.03449 0.96061 -0.27394
1.9566827000002403e-05 335.82956 -372.43298 28.79576 -0.03319 0.03465 0.96316 -0.26461
1.97685469999997e-05 334.58112 -373.15158 28.73616 -0.03335 0.03365 0.96552 -0.25597
1.99702659999966e-05 333.31927 -373.85034 28.66605 -0.0324 0.03448 0.96735 -0.24899
2.01719860000012e-05 332.05869 -374.52591 28.6207 -0.03417 0.03452 0.96835 -0.24483
2.0373706999998797e-05 330.81378 -375.20007 28.55256 -0.03465 0.03404 0.9687 -0.24343
2.05754269999961e-05 329.58527 -375.85864 28.49135 -0.03307 0.0336 0.96899 -0.24256
2.0777147000000698e-05 328.3681 -376.50607 28.43103 -0.03203 0.03368 0.96927 -0.24159
2.09788659999977e-05 327.18826 -377.13956 28.37962 -0.0316 0.03329 0.96958 -0.24044
2.1180586000002202e-05 326.0394 -377.74664 28.33105 -0.03142 0.03285 0.96999 -0.23884
2.13823059999995e-05 324.92731 -378.32776 28.27944 -0.03069 0.03323 0.97033 -0.23753
2.15840259999968e-05 323.82712 -378.90259 28.24258 -0.0304 0.03289 0.97061 -0.23644
2.17857460000014e-05 322.77469 -379.44318 28.19647 -0.03108 0.03316 0.97079 -0.23561
2.1987465999998702e-05 321.7612 -379.96646 28.15518 -0.03118 0.0332 0.97098 -0.23478
2.21891849999956e-05 320.77911 -380.47629 28.1088 -0.03004 0.03284 0.9712 -0.23408
2.23909050000002e-05 319.82504 -380.96445 28.07323 -0.02878 0.03296 0.97138 -0.23347
2.25926249999975e-05 318.87228 -381.45273 28.04213 -0.02917 0.03371 0.97148 -0.2329
2.27943450000021e-05 317.95663 -381.9227 27.99943 -0.03069 0.03312 0.97162 -0.23222
2.29960649999994e-05 317.04999 -382.38834 27.9673 -0.03124 0.0321 0.97175 -0.23174
2.31977839999963e-05 316.1698 -382.83194 27.91833 -0.03081 0.03276 0.97189 -0.23108
2.33995040000009e-05 315.29065 -383.2757 27.88642 -0.03033 0.03214 0.9721 -0.23036
2.36012239999982e-05 314.41815 -383.71613 27.85022 -0.02973 0.03168 0.97219 -0.23011
2.38029439999955e-05 313.55609 -384.15109 27.8134 -0.02898 0.03202 0.97231 -0.22969
2.4004664e-05 312.70157 -384.57837 27.7824 -0.02817 0.03248 0.97241 -0.22927
2.42063839999973e-05 311.84613 -385.00497 27.7496 -0.02804 0.0331 0.9725 -0.22883
2.44081030000016e-05 311.00797 -385.4248 27.72023 -0.02758 0.0331 0.97262 -0.22839
2.46098229999989e-05 310.15912 -385.8493 27.68287 -0.02753 0.03427 0.9727 -0.22786
2.4811542999996197e-05 309.31567 -386.27042 27.65564 -0.02627 0.03338 0.97288 -0.22736
2.50132630000007e-05 308.48987 -386.67813 27.63692 -0.02594 0.03411 0.97285 -0.22746
2.5214982999998e-05 307.66266 -387.09375 27.60675 -0.02544 0.03497 0.97294 -0.22699
2.54167039999957e-05 306.84109 -387.50623 27.59186 -0.02515 0.03513 0.97299 -0.22675
2.56184229999999e-05 306.00433 -387.92084 27.56573 -0.02475 0.03576 0.97302 -0.2266
2.58201429999972e-05 305.17661 -388.33258 27.54057 -0.02427 0.03563 0.97305 -0.22652
2.60218630000018e-05 304.36551 -388.73663 27.51807 -0.02327 0.03513 0.9731 -0.22651
2.6223582999998998e-05 303.54684 -389.1413 27.48829 -0.02249 0.03535 0.97316 -0.2263
2.64253029999963e-05 302.69901 -389.56491 27.46222 -0.02107 0.03465 0.9732 -0.22634
2.66270220000006e-05 301.82684 -389.99942 27.43017 -0.01853 0.03396 0.97332 -0.22616
2.6828741999997897e-05 300.8884 -390.4552 27.41109 -0.0184 0.03404 0.97334 -0.22606
2.7030462000002403e-05 299.88324 -390.95389 27.39268 -0.01887 0.03427 0.97336 -0.2259
2.72321819999997e-05 298.84668 -391.4679 27.37095 -0.01805 0.03377 0.97343 -0.22577
2.7433901999997002e-05 297.76294 -392.00836 27.34162 -0.01775 0.03437 0.97338 -0.2259
2.76356220000016e-05 296.6282 -392.57471 27.31714 -0.01758 0.03452 0.97327 -0.22638
2.7837340999998598e-05 295.46945 -393.14667 27.29557 -0.01689 0.03428 0.9732 -0.22675
2.80390609999959e-05 294.29745 -393.71863 27.27169 -0.01628 0.034 0.9732 -0.22685
2.82407810000004e-05 293.11215 -394.30298 27.25589 -0.01566 0.034 0.97312 -0.22725
2.8442500999997703e-05 291.92322 -394.88797 27.23378 -0.01542 0.03436 0.97301 -0.22766
2.86442210000023e-05 290.71228 -395.4892 27.21212 -0.01534 0.03422 0.97295 -0.22794
2.88459399999992e-05 289.52127 -396.09351 27.20171 -0.0138 0.03431 0.9729 -0.22826
2.90476599999965e-05 288.32166 -396.68851 27.18807 -0.01175 0.03498 0.97284 -0.22852
2.92493800000011e-05 287.1192 -397.31772 27.17901 -0.01118 0.03417 0.97283 -0.22872
2.94510999999984e-05 285.92337 -397.9263 27.18688 -0.01111 0.03316 0.97275 -0.22922
2.96528199999957e-05 284.74194 -398.50134 27.18927 -0.00922 0.03344 0.97283 -0.2289
2.9854540000000298e-05 283.55792 -399.09528 27.18319 -0.00717 0.03375 0.973 -0.22819
3.00562589999972e-05 282.34848 -399.69177 27.18292 -0.00837 0.03249 0.97307 -0.22804
3.02579800000021e-05 281.11865 -400.26419 27.17377 -0.01301 0.03078 0.97314 -0.22776
3.0459699999999403e-05 279.9184 -400.84674 27.17946 -0.01449 0.03013 0.97345 -0.22644
3.06614199999967e-05 278.72662 -401.42709 27.14194 -0.01299 0.03209 0.97353 -0.22592
3.08631400000013e-05 277.51627 -401.98047 27.13617 -0.01304 0.0342 0.97366 -0.22505
3.10648589999982e-05 276.3317 -402.58527 27.13282 -0.00933 0.03524 0.97366 -0.22509
3.12665789999955e-05 275.13718 -403.15753 27.14765 -0.00656 0.03622 0.97365 -0.22504
3.1468299000000104e-05 273.93826 -403.79474 27.1732 -0.0062 0.03498 0.97363 -0.22536
3.1670018999997397e-05 272.73514 -404.39066 27.16705 -0.00636 0.03379 0.97354 -0.22593
3.1871739000002e-05 271.52521 -404.99152 27.15452 -0.00821 0.03238 0.97372 -0.2253
3.20734579999989e-05 270.31598 -405.57446 27.15762 -0.00851 0.0322 0.97382 -0.22487
3.2275177999996204e-05 269.09436 -406.18887 27.16404 -0.00787 0.03111 0.97389 -0.22475
3.24768980000008e-05 267.85211 -406.77441 27.15558 -0.00787 0.03147 0.97384 -0.22492
3.26786179999981e-05 266.66605 -407.37799 27.16213 -0.00615 0.03081 0.97416 -0.22367
3.28803379999954e-05 265.42233 -407.94589 27.15231 -0.00804 0.03226 0.97401 -0.22405
3.3082058000000005e-05 264.18393 -408.52319 27.16132 -0.01043 0.03382 0.97426 -0.22263
3.32837769999969e-05 262.95898 -409.11774 27.16448 -0.01022 0.03446 0.97438 -0.22201
3.34854970000015e-05 261.72205 -409.72232 27.14794 -0.00659 0.03356 0.97444 -0.22202
3.3687216999998805e-05 260.52536 -410.31656 27.18021 0.00029 0.03416 0.97467 -0.22101
3.38889369999961e-05 259.31543 -410.89529 27.19474 0.00341 0.03413 0.97473 -0.22074
3.4090657000000594e-05 258.07031 -411.47144 27.22133 0.00262 0.03451 0.97485 -0.22015
3.4292375999997606e-05 256.83896 -412.04807 27.25094 0.0018 0.03447 0.97497 -0.21963
3.4494096000002204e-05 255.59911 -412.62454 27.28812 0.00015 0.03433 0.97505 -0.21931
3.46958159999995e-05 254.48592 -413.16382 27.311 -0.00091 0.03345 0.97496 -0.21983
3.4897535999996796e-05 253.45746 -413.65189 27.33806 -0.0005 0.0335 0.97483 -0.2204
